file_name,urdu_transcript,english_translation,language,language_probability
WhatsApp Ptt 2026-06-02 at 1.04.06 AM.ogg,یہاں یہ ایجنسی میں ایجنسی مدیمی ہے ایزی ٹکٹ اس کا یہاں ایزی ٹکٹ کا ایجنسی کوڑ کیا وہ کدر آ رہا ہے,This is an easy ticket in the agency This is where the agency code of the easy ticket is coming,ur,1
WhatsApp Ptt 2026-06-02 at 1.04.13 AM.ogg,,,ur,1
WhatsApp Ptt 2026-06-02 at 1.05.06 AM.ogg,یہ اب ایکٹر کوڈ جو لکھا بہاں ہے یہ جنسی کا کوڈ ہے یا یہ جنسی کا اونر ہے جو سٹاک ہے لیں ایڈمین کیا لیں یہ اس کا کوڈ ہے اور جب آپ پڑھ رہے ہوتے ہیں میں سمجھ دا رہا ہے ایکٹر تو نہیں لکھتے ہیں تو بھی ایکٹر ہوگا گلاجر میں بھی جاکے جہاں جہاں ایکٹر آ رہا ہے بھئی اس کا کوڈ دیزیگریشن ہوگا اگر وہ ایڈمین ہے تو ایڈمین کوڈ ہوگا اور اگر کونٹنٹ ہوگا جو تین چاہر اس کا روحل ہوتے ہیں ایڈمین ماننجر اکاونٹنٹ ٹیٹٹنگ سٹاہر یہ ایس طرح سے جو بھی سٹوری ہوتی ہے یہ کیا سٹوری ہے,This is the Actors Code This is the agency's code This is the agency's owner This is the admin's code And when you are reading You are not the actor You will be the actor Wherever the actor comes There will be a designation of him If he is an admin He will be the admin code And if he is a accountant The 3-4 roles are Admin Manager Accountant Acting star This is the story This is the story,ur,1
WhatsApp Ptt 2026-06-02 at 1.05.53 AM.ogg,یہ دیکھیں یہاں بھی اٹرکوڈہ لکھا گا یعنی کہ یہ بندے کا کوڈہ ہے ڈینسی کا کوڈٹہ کسی اور لے کا شوہ ہو رہا ہوگا,This is an attracoda This is a man's code It must be showing somewhere else,ur,1
WhatsApp Ptt 2026-06-02 at 1.05.59 AM.ogg,ترطنی ہونا چاہیے اس کا نام,its name should not be Trotini,ur,1
WhatsApp Ptt 2026-06-02 at 1.07.05 AM.ogg,اور یہ نیچے جو ایجینٹ کوڑ ہے اوپر کیا نیچے کیا اکٹر کوڑ ایجینٹ کوڑ مفرق کیا دونوں کیا سٹوٹیز ہے,"And what is the agent code on the bottom, what is the actor code on the top, what are the stories on the bottom.",ur,1
WhatsApp Ptt 2026-06-02 at 1.08.57 AM.ogg,آنس ورڈی شکل والا پی جو آیا اس کی شکل سلوٹ لیتنی ہے دیکھا ہے فرم گیا ہوا جیبوری وہ ہوا,"There is a lot of damage on the site of the site, but we can see that there is a lot of debris on the site.",ur,1
WhatsApp Ptt 2026-06-02 at 1.11.09 AM.ogg,اور یہ اکبرر اکبرر اکبرر اکبرر یہ کیا اکبرر ہے,What is this?,ur,1
WhatsApp Ptt 2026-06-02 at 1.11.48 AM.ogg,لہدر کی شفلی کھلی کھلی نہیں ہے ورادہ بھی ایک انٹریک کی اگلی انٹریکن دیکھتے ہیں,This is the first entry of the Shafi'l-e-Ki Shafi'l-e-Ki.,ur,1
WhatsApp Ptt 2026-06-02 at 1.13.43 AM.ogg,بھائیم مجھے تو سمح لاکی ہے لیکن یہ آپ کے فرم میں جہاں جنسی کا پورا یہ سٹرٹر بناو ہے جنسی کے نام کے پاس کہیں یہ جنسی کا کوڑ شوہنہ چاہیے کہ یہ سے جنسی کا کوڑ کیا ہے,I have got the time but this is the structure of the Jhansi The name of the Jhansi should be shown somewhere What is the code of the Jhansi?,ur,1
WhatsApp Ptt 2026-06-02 at 1.14.23 AM.ogg,اُسرہاں میں نے پیمٹ ریکوز کیا اپنوڈ کرنے کے لئے ایڈمین کو کیسے پتہ لگے گا جناب کوئی آئی ہوئی ہے یہاں داشگوٹ جو پر کوئی ایلرٹ نہیں بنی ہوئی کہ جس کے اندر آجا ہے جس طرح یہ پیمٹ پینڈنگ یہاں کوئی کہاں آئے گی کہ وہ اسی ایجرن میں پیمٹ کے لئے ریکوز کی ہوئی ہے کہ یہی پیسے آڑ کر دوں,The second thing is that I have requested payment to be uploaded there. How will the admin know that someone has come here? There is no alert on the dashboard here. The payment pending that has come in here. Where will someone come? That they have requested for payment in this agenda. That they add money.,ur,1
WhatsApp Ptt 2026-06-02 at 1.14.35 AM.ogg,بندہار لنگ تو نہیں کھولے گا ڈاشگوڈ بار بار رفریش کر کے دیکھے گا کہ کوئی انفرمیشن تو نہیں آئی ہوئی کوئی نوی چیز تو نہیں آڑ ہوئی,He will not open the link. He will refresh the dashboard again and again to see if there is any new information or new information.,ur,1
WhatsApp Ptt 2026-06-02 at 1.15.59 AM.ogg,یہاں ساری بات آپ کی سمجھ لگی یہاں میں کمپنی کا مالے کنو ماستر ویڈی ٹرائبل کا مرے نیچے ایجی ٹکرڈ کے جنسی ہے پرواز ٹرائبل کے جنسی ہے بنہام ٹرائبل جنسی ہے تو میں جب جنسی کہیں دیکھوں گا پورے سسٹم میں لاجر یہ وہ جہاں تو وہاں اجنسی کا کوٹ ہوگا نا اجنت کا کوٹ نہیں ہوگا کہ جی ٹکرڈ جو ہے اجنت نے بوک کی اجنت تو جو ہوگا وہ اجنسی جو ہوگی سب اجنسی ہے کہ جی میرے اس بنہ نے بوک کی لیکن جو ماستر کمپنی ہے اس میں تو یہ ہی آ رہا ہوگا کہ جناب ایجی ٹکرڈ نے بوک کی ہے اور اگر فردر آگر پور چکرنی ہے تو اس کے اجنت نمبر 1 آسی کھلیل نے کی ہے یا سٹاپ نے کیا کیا کیا کیا یہ اس کا پورا فلو ہوتا ہے تو 10 من جب ویلیو ہو جائیں گے تو جنابے آلی فونوں بے سمجھنک بھی جائے لیپٹوب لا آگے کچھ میرے سے بھی سمجھ لینا نا میں آپ کو سیاری چیز بھتا رہا ہوں اگر سمجھ میں آجا ہوں تو بھی سبھا سمجھ لینا,"I am the owner of the company, master of YD travel, I have an easy ticket agency below me, a provost travel agency, a bin ham travel agency, so when I look at the agency, the entire system is a laser, so the agency will have a code there, the agent will not have a code that the agent has booked, the agent will be the agency, all the agencies will come to the laser, the agent will come to the laser and say that this person has booked, but the master of the company will come to the laser and say that the agent has booked, and if the agent has not checked further, then the agent number one, Aasif Khalil has done it or the staff has done it, this is the entire flow, so when it will be valid for 10 minutes, then the agent will come to the laser and say that they have to give me some time, I am telling you the whole thing, if you understand it today, then understand it in the morning,",ur,1
WhatsApp Ptt 2026-06-02 at 1.16.34 AM.ogg,میں نے آپ کو سیرچی نے بتا دیئے ہیں آپ کو سمجھ لینا ہے جو سو بہت لیپٹوٹ لاگیا ہنا تو پھر بہت ہاں آپ یہ جو میں نے فندلوڈ کی ریکویس کیا یہ ہم پی تو نظر نہیں آڑی تو اب یہ کہاں نظر آئے گی مجھے بتائیں کہ اس میں کیسے اپروف کرنا ہے کیا ہونہ,"I have told you everything If you want to understand the night, you can come to the laptop in the morning I have requested the fund load You can't see it here So where will you see it? Tell me how to approve it",ur,1
WhatsApp Ptt 2026-06-02 at 1.16.53 AM.ogg,یہ سوم جب نیچی ہوگانا تو بیٹھ کے لیبٹو پر پھر میں آپ کو گایڈ کروں گا,"When the sun comes down, I'll sit down and guide you on the laptop.",ur,1
WhatsApp Ptt 2026-06-02 at 1.18.07 AM.ogg,اور یہ اللیٹی سے مراد کیا مکنوں رکھا ہاں میں,And this is the meaning of this LED. This is the meaning of this LED.,ur,1
WhatsApp Ptt 2026-06-02 at 1.18.32 AM.ogg,ریوی اور آگی یہ کوٹ سٹکچر کیا ہے اور یہ ایڈی سی یہ کیا ہے,R.E.V. and this is the structure of the court and this is the ADC and this is the,ur,1
WhatsApp Ptt 2026-06-02 at 1.19.03 AM.ogg,بھائی میں نے اپنی جنسی سے بیجیئے یہ تو بات میں دیکھتے ہیں نا اب ماستر آڈون پیلل میں کیسے پتہ لکے جاگئے کسے جنٹر نے ریکویس بیجیئے میں نے تو بیجیئے ہیں اب کیسے پتہ لکے جاگئے,"Bro, I have sent it to my agency, you can see it later. Now how do you know in Master Add-1 Panel that a Jenter has sent this request? I have sent it. Now how do you know where it has gone?",ur,1
WhatsApp Ptt 2026-06-02 at 1.20.27 AM.ogg,بھائی ابھی کن شو ہو رہا ایک تو دیشبورٹ کے اندر ہوں نا چاہیے جہاں پینڈنگ دیکویسٹ آنی چاہیے کہ جی والٹ کی یا کسی میں دیکویسٹ بھی جی لیکن ابھی میں یہ کن دیکھوں کہ جنسی نے ایک پیمٹ کی دیکویسٹ کیا ہے وہ کن چکھ کروں کہ وہ اس کو اپروس کرنایا جو بھی اور وہ کن کن شو ہو بھی,where is this show going on? it should be in the dashboard where the pending request should be sent to the wallet or any other request but now I will see where the agency has requested for payment where should I check if it has to be approved and where it will be shown,ur,1
WhatsApp Ptt 2026-06-02 at 1.22.04 AM.ogg,یہاں مجھے دونی کین نظر آ رہی میں فینانس میں کیوں وہ اللیٹ آڈیٹ ہے ماشٹر لیجر ہے ماشٹر لیجر کے اندر ایک نظر آ رہی ہے یہ پینڈنگ پڑی ہوئی ہے بہر کین نظر آنی چاہی ہے نا اس طرح تو بندہ نہیں آگے اتنے سارے اپریشن ہوگی تو کیا بندہ ہار ایک میں آگے لیجروں میں دیکھے گا داش بور کا مطلب یہ ہے کہ جو ایمپورٹنٹ انسیڈنٹ ہو رہے ہیں وہ جب بھی کو بندہ کرے جو ایمپورٹنٹ ایک نظر آ رہا ہے کہ یہ ٹریگل ہوا ہے جب کو ریکویسٹ آئے گی جب کو ٹکٹ بنے گی جب کانسلیشن ہوگی تو داش بور بھی ایلرٹس ہوتی ہوگی وہ جو بھی بنے ہوئے ہیں پہلے داس تھی تو گیارہ ہوگی ہے یا وہاں اس کے اندر آجے گا پینڈنگ اٹانشن تو وہ دیکھے گا ہاں میں جاگا دیکھوں کس کی آئی ہوئی ہے,"I can't see anything. I'm in finance. It's a wallet audit. It's a master ledger. I can't see anything inside the master ledger. It's a pending. I can't see anything outside. People are not coming in this way. There will be so many operations. People will come and see in ledgers. Dashboard means that the important incident is happening. Whenever someone is doing a refresh, they can see that this has been triggered. When there is a request, when there will be a ticket, when there will be a cancellation, the dashboards will also be alerted. There were 10 before, now there are 11. When there will be a pending attention, they will see who has come.",ur,1
