claim_id	original_claim	classification	active_route_page	exact_active_file	line_range	rendered_consequence	evidence_command	correction_or_accurate_wording	future_fix_justified	recommended_severity
CLM-001	Duplicate identical nav blocks create keyboard trap	TECHNICALLY_INCORRECT	All public pages	partials/header.blade.php; partials/drawer.blade.php; partials/footer.blade.php	21;14-15;25-37	One Primary nav in header; drawer is plain links without nav; footer uses fcol columns not nav	rg "<nav" resources/views/themes/frontend/jetpakistan	Only one nav landmark; drawer/footer are separate structures; trap claim unsupported unless proven in browser	no	Low
CLM-002	Missing main landmark	FALSE	All public pages	layouts/frontend.blade.php	101	Screen readers can reach jp-main main landmark	rg "jp-main" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	<main id="jp-main"> present	no	None
CLM-003	Hero lacks semantic wrapper	PARTLY_TRUE	Home	sections/hero.blade.php	40-121	Hero is section#top not section with aria-labelledby; h1 inside section	rg "class=\"hero" resources/views/themes/frontend/jetpakistan/sections/hero.blade.php	Hero uses <section class="hero"> with h1; not generic div only	yes	Low
CLM-004	Form groups lack fieldset legend for passenger counters	TRUE	Home	components/search/passenger-selector.blade.php	22-93	Passenger cabin/adults/children/infants grouped in div not fieldset	rg "fieldset" resources/views/themes/frontend/jetpakistan/components/search	Traveler groups use div wrappers without fieldset/legend	yes	Medium
CLM-005	Search inputs lack label	FALSE	Home	components/search/airport-field.blade.php	14-32	From/To have label for display input	rg "label for" resources/views/themes/frontend/jetpakistan/components/search	Airport fields have explicit labels	yes (date UX)	Medium
CLM-006	Trending routes destination cards lack article list semantics	TRUE	Home	sections/routes.blade.php; components/jp/route-card.blade.php	31-40;4-11	Route cards are div/a.card not article or ul/li	rg "route-card" resources/views/components/jp/route-card.blade.php	Cards lack article/list semantics	yes	Low
CLM-007	Inline styles on hero image prevent responsiveness	PARTLY_TRUE	Home	sections/hero.blade.php; frontend/home.blade.php	43-50	Hero layout vars inline style block; dest cards use inline --jp-dest-image	rg "style=" resources/views/themes/frontend/jetpakistan/sections	Some inline CSS vars; hero picture uses CSS classes for image	yes	Low
CLM-008	No CSS custom properties design tokens	FALSE	All public pages	public/themes/frontend/jetpakistan/css/tokens.css	7-40	Theme uses --jp-* tokens throughout	rg "--jp-" public/themes/frontend/jetpakistan/css/tokens.css	tokens.css defines design tokens	no	None
CLM-009	Hero missing srcset sizes major LCP waste	PARTLY_TRUE	Home	sections/hero.blade.php; app/Support/Homepage/JetpkHeroLcpPresenter.php	26-57;27-76	When manifest exists picture preload srcset AVIF WebP; without manifest SVG fallback only	rg "picture" resources/views/themes/frontend/jetpakistan/sections/hero.blade.php	Responsive hero implemented when CMS manifest present; absent manifest falls back to non-image scene	yes (fallback path)	High
CLM-010	No container queries for card grids	IRRELEVANT_REQUIREMENT	Home	public/themes/frontend/jetpakistan/css/theme.css	various	Grids use media queries and clamp not container queries	rg "container-type" public/themes/frontend/jetpakistan/css	Container queries not mandatory for this stack	no	None
CLM-011	Utility-first CSS absent	IRRELEVANT_REQUIREMENT	All public pages	public/themes/frontend/jetpakistan/css/theme.css	various	Component-scoped CSS not Tailwind utility-first	rg "tailwind" public/themes/frontend/jetpakistan	Stack uses custom CSS not utility-first mandate	no	None
CLM-012	No progressive enhancement search date pickers require JS	PARTLY_TRUE	Home	components/search/flights-panel.blade.php; components/search/date-field.blade.php	10-16;56-63	GET form exists but dates are hidden fields with JS button triggers	rg "data-jp-date" resources/views/themes/frontend/jetpakistan/components/search	Form submits without JS but airport/date UX degraded; not zero functionality	yes	High
CLM-013	Hydration mismatch server PKR 0 vs client prices	TECHNICALLY_INCORRECT	Results	frontend/flights/partials/results-page.blade.php	207-235	Skeleton cards without PKR 0 text; JS fetches fares	rg "PKR 0" resources; rg "PKR 0" app	No hydration framework; no PKR 0 in SSR markup	no	None
CLM-014	No defer module script loading strategy unclear	PARTLY_TRUE	All public pages	layouts/frontend.blade.php	109-112	theme.js uses defer; results.js no defer on results page	rg "defer" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	Most theme scripts defer; some results scripts lack defer	yes	Low
CLM-015	Third-party widgets load without facade	PARTLY_TRUE	Support; Lookup	frontend/support.blade.php; frontend/booking/lookup.blade.php	120;69	Turnstile widget on forms; WhatsApp plain links not SDK	rg "turnstile" resources/views/themes/frontend/jetpakistan	No FB/IG embed widgets in layout; Turnstile loads on submit forms	yes (Turnstile)	Medium
CLM-016	Hero image alt should be empty decorative	PARTLY_TRUE	Home	app/Support/Homepage/JetpkHeroLcpPresenter.php	69	Hero img alt defaults to JetPakistan flights from Pakistan	rg "alt" app/Support/Homepage/JetpkHeroLcpPresenter.php	Alt is descriptive not alt="" aria-hidden decorative	yes	Low
CLM-017	Passenger counter buttons lack aria-label role	FALSE	Home	components/search/passenger-selector.blade.php	50-71	Plus minus buttons have aria-label Fewer/More adults etc	rg "aria-label" resources/views/themes/frontend/jetpakistan/components/search/passenger-selector.blade.php	Stepper buttons have aria-label; trigger has aria-labelledby	yes (touch size)	Medium
CLM-018	Date inputs use type text not date	TRUE	Home	components/search/date-field.blade.php	56-63	Hidden input holds value; button trigger not native date	rg "type=\"hidden\"" resources/views/themes/frontend/jetpakistan/components/search/date-field.blade.php	Dates use hidden + button not type=date	yes	Medium
CLM-019	Direct flights only checkbox no label	PARTLY_TRUE	Home	components/search/search-action-row.blade.php	9-13	Checkbox hidden inside enclosing label.check with visible text	rg "Direct flights" resources/views/themes/frontend/jetpakistan/components/search/search-action-row.blade.php	Label association via enclosing label not id/for on checkbox	yes	Low
CLM-020	Duplicate nav tab trap add skip link	PARTLY_TRUE	All public pages	layouts/frontend.blade.php	84-105	No skip link; main exists	rg "skip" resources/views/themes/frontend/jetpakistan	Skip link absent; nav trap claim unsupported	yes (skip link)	Medium
CLM-021	PKR green on white contrast fail	UNVERIFIED_BROWSER_RUNTIME	Results	public/themes/frontend/jetpakistan/css/tokens.css	various	Price color uses CSS vars; ratio not measurable statically	rg "brand" public/themes/frontend/jetpakistan/css/tokens.css	Contrast requires browser/DevTools measurement	yes (verify)	Medium
CLM-022	No skip link	TRUE	All public pages	layouts/frontend.blade.php	84-105	First focusable is loader/header not skip to main	rg "skip-link" resources/views/themes/frontend/jetpakistan	No skip link to #jp-main	yes	High
CLM-023	Hero no preload fetchpriority high	PARTLY_TRUE	Home	sections/hero.blade.php	27-36	When jpHeroLcp preloads with fetchpriority on first link	rg "fetchpriority" resources/views/themes/frontend/jetpakistan/sections/hero.blade.php	Preload+fetchpriority when manifest exists; not when fallback scene	yes (fallback)	High
CLM-024	Hero no WebP AVIF responsive images	PARTLY_TRUE	Home	app/Support/Homepage/JetpkHeroLcpPresenter.php	25-60	AVIF WebP sources when manifest variants exist	rg "MODERN_FORMATS" app/Support/Homepage/JetpkHeroLcpPresenter.php	Modern formats when CMS manifest present	yes (fallback)	High
CLM-025	400+ airline logos unoptimized lazy load	UNVERIFIED_BROWSER_RUNTIME	Results	frontend/flights/partials/results-page.blade.php	207+	Logos injected client-side count unknown statically	rg "airline" public/themes/frontend/jetpakistan/js/results.js	Airline logo count and lazy-load need runtime results page	yes	Medium
CLM-026	PKR 0 placeholder fares CLS	FALSE	Results	frontend/flights/partials/results-page.blade.php	229-231	Skeleton blocks not PKR 0 text	rg "PKR 0" resources; rg "skeleton" frontend/flights/partials/results-page.blade.php	SSR uses skeleton placeholders not PKR 0	no	None
CLM-027	No font-display swap	FALSE	All public pages	layouts/frontend.blade.php	26	Google Fonts URL includes display=swap	rg "display=swap" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	font-display swap via Google Fonts query	no	None
CLM-028	Social widgets blocking main thread	UNVERIFIED_BROWSER_RUNTIME	Support	frontend/support.blade.php	43-44	WhatsApp is link not widget; Turnstile on form	rg "wa.me" resources/views/themes/frontend/jetpakistan/frontend/support.blade.php	No embedded social SDKs in global layout; measure Turnstile in browser	yes (if blocking)	Medium
CLM-029	Missing title critical no page title	FALSE	Home; all pages	layouts/frontend.blade.php; frontend/home.blade.php	6-16;4	Title from section or brand fallback	rg "<title>" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	Title element always rendered	yes (per-page SEO)	Medium
CLM-030	Missing meta description	FALSE	Home	frontend/home.blade.php	16	meta description pushed on home	rg "meta name=\"description\"" resources/views/themes/frontend/jetpakistan	Home has description; CMS pages may rely on defaults only	yes	Medium
CLM-031	Missing Open Graph Twitter Cards	FALSE	Home	frontend/home.blade.php	19-26	OG and Twitter meta on homepage	rg "og:title" resources/views/themes/frontend/jetpakistan/frontend/home.blade.php	Home has OG/Twitter; other pages lack head-meta push	yes	Medium
CLM-032	Missing JSON-LD schemas	TRUE	All public pages	resources/views/themes/frontend/jetpakistan	various	none	No structured data scripts	rg "ld+json" resources/views/themes/frontend/jetpakistan	No JSON-LD Organization WebSite Product	yes	High
CLM-033	Missing canonical URL	PARTLY_TRUE	Home; CMS pages	frontend/home.blade.php; frontend/content-page.blade.php	18;12-14	Canonical on home only via push; content-page title only	rg "canonical" resources/views/themes/frontend/jetpakistan	Canonical on home; not pushed on auth/CMS pages in theme	yes	Medium
CLM-034	Missing hreflang Urdu English	TRUE	All public pages	layouts/frontend.blade.php	10-29	No hreflang alternates	rg "hreflang" resources/views/themes/frontend/jetpakistan	No hreflang links	yes	Medium
CLM-035	Viewport meta missing unverified	FALSE	All public pages	layouts/frontend.blade.php	14	viewport width=device-width initial-scale=1.0 present	rg "viewport" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	Viewport meta present	no	None
CLM-036	Hero fixed aspect overflow under 375px	UNVERIFIED_BROWSER_RUNTIME	Home	public/themes/frontend/jetpakistan/css/theme.css	various	Hero responsive rules need device test	rg "hero" public/themes/frontend/jetpakistan/css/theme.css	Overflow at narrow widths requires DevTools	yes	Low
CLM-037	Passenger touch targets under 44px	TRUE	Home	public/themes/frontend/jetpakistan/css/jp-search.css	368-370	jp-pax-step 26-30px width height	rg "jp-pax-step" public/themes/frontend/jetpakistan/css/jp-search.css	Stepper buttons below 44px guidance	yes	Medium
CLM-038	Trending routes horizontal scroll snap missing	PARTLY_TRUE	Home	sections/routes.blade.php	31	data-jp-card-carousel when >4 cards	rg "carousel" resources/views/themes/frontend/jetpakistan/sections/routes.blade.php	Carousel attribute when many routes; scroll behavior in JS/CSS	yes	Low
CLM-039	Duplicate nav markup not componentized	PARTLY_TRUE	All public pages	partials/header.blade.php; partials/drawer.blade.php	21-28;14-15	Nav items duplicated in header and drawer Blade not React	rg "nav_items" resources/views/themes/frontend/jetpakistan/partials	Same nav data in header nav and drawer links; Blade partials not TSX	yes	Low
CLM-040	Fare formatting hardcoded PKR not Intl	TRUE	Results	frontend/flights/partials/results-page.blade.php	706	JS formatRs uses PKR + toLocaleString en-US	rg "PKR " frontend/flights/partials/results-page.blade.php	Client-side formatRs hardcodes PKR prefix	yes	Low
CLM-041	Mixed Urdu English without lang switching	PARTLY_TRUE	All public pages	layouts/frontend.blade.php	11	html lang from app locale en only	rg "lang=" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	Single html lang; no ur sections	yes	Low
CLM-042	Font icons instead of SVG likely	PARTLY_TRUE	Results	themes/frontend/jetpakistan/frontend/flights/results.blade.php	14	Font Awesome 4.7 CDN on results	rg "font-awesome" resources/views/themes/frontend/jetpakistan/frontend/flights/results.blade.php	FA icon font on results; jp icons are inline SVG elsewhere	yes	Low
CLM-043	No Content-Security-Policy	TRUE	All pages	app/Http/Middleware/SecurityHeaders.php	14-26	CSP header not set in middleware	rg "Content-Security" app/Http/Middleware/SecurityHeaders.php	No CSP in application middleware	yes	High
CLM-044	No X-Frame-Options	FALSE	All pages	app/Http/Middleware/SecurityHeaders.php	18	X-Frame-Options SAMEORIGIN set	rg "X-Frame-Options" app/Http/Middleware/SecurityHeaders.php	X-Frame-Options present (SAMEORIGIN not DENY)	yes (policy)	Medium
CLM-045	No Referrer-Policy	FALSE	All pages	app/Http/Middleware/SecurityHeaders.php	20	Referrer-Policy strict-origin-when-cross-origin	rg "Referrer-Policy" app/Http/Middleware/SecurityHeaders.php	Referrer-Policy set in middleware	no	None
CLM-046	No HSTS PCI requirement	UNVERIFIED_SERVER_CONFIG	All pages	app/Http/Middleware/SecurityHeaders.php	14-26	HSTS not in app code; may be on server	rg "Strict-Transport" app; rg "Strict-Transport" bootstrap	HSTS not in repo middleware; verify production headers	yes	High
CLM-047	No Permissions-Policy	FALSE	All pages	app/Http/Middleware/SecurityHeaders.php	21-24	Permissions-Policy restricts camera mic geo	rg "Permissions-Policy" app/Http/Middleware/SecurityHeaders.php	Permissions-Policy set in middleware	no	None
CLM-048	Every form zero labels login register lookup	FALSE	Login	auth/login.blade.php	51-77	Labels via x-jp.form-group for login password	rg "form-group label" resources/views/themes/frontend/jetpakistan/auth/login.blade.php	Report false: labels present with for attributes	no	None
CLM-049	Zero progressive enhancement all interactive pages	PARTLY_TRUE	Home; Results	components/search/flights-panel.blade.php; results-page.blade.php	10-16;262+	HTML forms exist; results need JS for fares; search needs JS for UX	rg "method=\"get\"" resources/views/themes/frontend/jetpakistan/components/search	Not zero PE: GET search POST auth work; enhanced UX needs JS	yes	High
CLM-050	robots.txt Disallow blocks all crawlers	FALSE	All	public/robots.txt	1-2	Disallow empty allows all	rg "." public/robots.txt	User-agent * Disallow empty permits indexing	no	None
CLM-051	Fare cards hydration PKR 0 layout shift	TECHNICALLY_INCORRECT	Results	frontend/flights/partials/results-page.blade.php	207-235	Skeleton cards not price zero hydration	rg "PKR 0" resources	No SSR PKR 0; client fetch not hydration	no	None
CLM-052	No CSP security headers bundle	TRUE	All pages	app/Http/Middleware/SecurityHeaders.php	14-26	Partial headers only no CSP	rg "SecurityHeaders" bootstrap/app.php	CSP absent; other headers partially present	yes	High
CLM-053	Logo requested 3-4 times same URL	PARTLY_TRUE	All public pages	partials/header.blade.php; partials/drawer.blade.php; partials/footer.blade.php; components/jp/brand-logo.blade.php	20;10;15;24	Same logo img may appear header drawer footer	rg "brand-logo" resources/views/themes/frontend/jetpakistan/partials	Multiple DOM img same src possible; network dedup is browser cache	yes	Low
CLM-054	Social links empty accessible names	FALSE	All public pages	partials/footer.blade.php	43-47	Social links have aria-label platform Contact support	rg "aria-label" resources/views/themes/frontend/jetpakistan/partials/footer.blade.php	Footer social uses aria-label; report cited empty anchors on production CMS content possibly	yes	Low
CLM-055	Footer copyright mojibake	FALSE	All public pages	partials/footer.blade.php	41	Uses © and date Y dynamic year	rg "date('Y')" resources/views/themes/frontend/jetpakistan/partials/footer.blade.php	Template uses proper copyright not mojibake	no	None
CLM-056	Phone country codes not select register	FALSE	Register	auth/register.blade.php	43-47	select mobile_country_code with options	rg "mobile_country_code" resources/views/themes/frontend/jetpakistan/auth/register.blade.php	Register uses select for country codes	no	None
CLM-057	No autocomplete login register	FALSE	Login; Register	auth/login.blade.php; auth/register.blade.php	60;38	autocomplete username current-password new-password etc	rg "autocomplete" resources/views/themes/frontend/jetpakistan/auth	Autocomplete attributes present	no	None
CLM-058	Password confirm no aria-describedby match error	TRUE	Register	auth/register.blade.php	56-58	Confirm password field no describedby alert span	rg "password_confirmation" resources/views/themes/frontend/jetpakistan/auth/register.blade.php	No live match error association	yes	Low
CLM-059	Google sign-in plain text not disabled button	PARTLY_TRUE	Login; Register	components/jp/google-sign-in.blade.php	26-36	Disabled state is div aria-disabled not button	rg "google-sign-in" resources/views/components/jp/google-sign-in.blade.php	When Google not configured shows div not button disabled	yes	Low
CLM-060	No novalidate on forms	PARTLY_TRUE	Home; Support	components/search/flights-panel.blade.php; frontend/support.blade.php	15;81	Search and support forms use novalidate	rg "novalidate" resources/views/themes/frontend/jetpakistan	novalidate on search GET and support POST	yes	Medium
CLM-061	Agent checkbox no label association	FALSE	Agent apply	frontend/agent-registration/form.blade.php	82-85	label for terms with input id terms	rg "for=\"terms\"" resources/views/themes/frontend/jetpakistan/frontend/agent-registration/form.blade.php	Checkbox has label for association	no	None
CLM-062	Agent application no form wrapper	FALSE	Agent apply	frontend/agent-registration/form.blade.php	38-95	Full POST form with CSRF	rg "<form" resources/views/themes/frontend/jetpakistan/frontend/agent-registration/form.blade.php	Agent apply has form action store	yes (validation)	None
CLM-063	No font-display on web fonts	FALSE	All public pages	layouts/frontend.blade.php	26	display=swap in Google Fonts URL	rg "display=swap" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	font-display swap via CDN URL	no	None
CLM-064	No critical CSS inlined	FALSE	All public pages	layouts/frontend.blade.php	36-41	External CSS not inlined in head	rg "stylesheet" resources/views/themes/frontend/jetpakistan/layouts/frontend.blade.php	Critical CSS not inlined; external linked CSS	yes	Low
CLM-065	Logo dynamic storage no cache headers	UNVERIFIED_SERVER_CONFIG	All	components/jp/brand-logo.blade.php	24	img src from branding URL	rg "logoUrl" resources/views/components/jp/brand-logo.blade.php	Cache-Control on /storage/ assets is server config	yes	Medium
CLM-066	Focus styles missing reset by CSS	FALSE	All public pages	public/themes/frontend/jetpakistan/css/theme.css	29-55	focus-visible box-shadow ring rules present	rg "focus-visible" public/themes/frontend/jetpakistan/css/theme.css	:focus-visible styles defined	no	None
CLM-067	No reduced motion rules	FALSE	All public pages	public/themes/frontend/jetpakistan/css/theme.css	772;818	prefers-reduced-motion blocks animations	rg "prefers-reduced-motion" public/themes/frontend/jetpakistan/css/theme.css	Reduced motion media queries present	no	None
CLM-068	FAQ no details summary	FALSE	FAQ	frontend/faq.blade.php	28-31	details summary per question	rg "details" resources/views/themes/frontend/jetpakistan/frontend/faq.blade.php	FAQ uses details/summary	no	None
CLM-069	Terms Privacy markdown H1 artifacts	PARTLY_TRUE	Terms; Privacy	frontend/legal/show.blade.php	35-42	Content from CMS sanitized nl2br e() not markdown parser	rg "=======" resources/views/themes/frontend/jetpakistan	Artifacts would be CMS content not Blade; static cannot confirm production	yes (content QA)	Medium
CLM-070	Empty anchors terms privacy	PARTLY_TRUE	Terms; Privacy	frontend/legal/show.blade.php	35-42	CMS HTML sanitized; empty anchors would be content	rg "<a " resources/views/themes/frontend/jetpakistan/frontend/legal/show.blade.php	Empty anchors not in Blade; possible CMS body content	yes (content QA)	Low
CLM-071	tel links format inconsistency	PARTLY_TRUE	Support; About	frontend/support.blade.php	41	Uses tel with phone_e164 or stripped digits	rg "tel:" resources/views/themes/frontend/jetpakistan/frontend/support.blade.php	tel href present; display vs e164 may differ	yes	Low
CLM-072	No rel noopener external links	FALSE	Support; Footer	frontend/support.blade.php; partials/footer.blade.php	44;46	rel noopener on external links	rg "noopener" resources/views/themes/frontend/jetpakistan	noopener on target blank links	no	None
CLM-073	No loading lazy below fold images	PARTLY_TRUE	Home	components/jp/dest-card.blade.php	7-14	Dest uses CSS background not img loading attr	rg "loading=" resources/views/themes/frontend/jetpakistan	Destination cards CSS backgrounds; logo eager	yes	Low
CLM-074	No srcset except hero	PARTLY_TRUE	Home	components/jp/brand-logo.blade.php	24	Logo single src no srcset	rg "srcset" resources/views/themes/frontend/jetpakistan	Logo and dest cards lack srcset	yes	Low
CLM-075	Navigation.tsx component refactor needed	IRRELEVANT_REQUIREMENT	All	public/themes/frontend/jetpakistan	various	Blade partials not React	rg "Navigation.tsx" .	Stack is Blade not React Navigation.tsx	no	None
